GEOID,city,year,total_police_killings,unarmed_police_killings
0107000,birmingham city,2014,3,1
0107000,birmingham city,2015,3,0
0107000,birmingham city,2016,4,1
0107000,birmingham city,2017,4,0
0107000,birmingham city,2018,1,0
0107000,birmingham city,2019,1,0
0107000,birmingham city,2020,2,1
0107000,birmingham city,2021,4,1
0107000,birmingham city,2022,1,0
0107000,birmingham city,2023,1,0
0137000,huntsville city,2013,2,1
0137000,huntsville city,2014,2,0
0137000,huntsville city,2015,1,0
0137000,huntsville city,2016,2,2
0137000,huntsville city,2017,3,0
0137000,huntsville city,2018,1,0
0137000,huntsville city,2019,3,1
0137000,huntsville city,2020,2,0
0137000,huntsville city,2022,1,1
0137000,huntsville city,2023,4,1
0150000,mobile city,2013,2,0
0150000,mobile city,2016,1,0
0150000,mobile city,2017,2,1
0150000,mobile city,2018,1,0
0150000,mobile city,2020,1,0
0150000,mobile city,2021,2,0
0150000,mobile city,2023,4,1
0151000,montgomery city,2016,1,0
0151000,montgomery city,2018,3,1
0151000,montgomery city,2020,1,0
0151000,montgomery city,2021,1,1
0151000,montgomery city,2022,1,0
0151000,montgomery city,2023,1,0
0203000,anchorage municipality,2013,3,0
0203000,anchorage municipality,2015,1,0
0203000,anchorage municipality,2016,3,0
0203000,anchorage municipality,2017,2,0
0203000,anchorage municipality,2018,1,0
0203000,anchorage municipality,2019,3,1
0203000,anchorage municipality,2020,3,1
0203000,anchorage municipality,2023,1,0
0412000,chandler city,2014,1,1
0412000,chandler city,2015,1,0
0412000,chandler city,2016,1,0
0412000,chandler city,2017,1,0
0412000,chandler city,2018,1,0
0412000,chandler city,2020,2,1
0412000,chandler city,2021,1,0
0412000,chandler city,2022,3,1
0412000,chandler city,2023,2,0
0427400,gilbert town,2015,2,0
0427400,gilbert town,2016,2,1
0427400,gilbert town,2017,2,0
0427400,gilbert town,2018,2,0
0427400,gilbert town,2022,2,0
0427820,glendale city,2013,2,0
0427820,glendale city,2014,3,0
0427820,glendale city,2015,3,0
0427820,glendale city,2016,2,0
0427820,glendale city,2017,6,2
0427820,glendale city,2018,4,0
0427820,glendale city,2019,3,0
0427820,glendale city,2020,1,0
0427820,glendale city,2021,4,1
0427820,glendale city,2022,3,0
0427820,glendale city,2023,2,1
0446000,mesa city,2013,4,1
0446000,mesa city,2014,2,1
0446000,mesa city,2015,3,0
0446000,mesa city,2016,3,1
0446000,mesa city,2017,3,0
0446000,mesa city,2018,9,1
0446000,mesa city,2019,3,0
0446000,mesa city,2020,6,1
0446000,mesa city,2021,1,0
0446000,mesa city,2022,6,0
0446000,mesa city,2023,5,0
0454050,peoria city,2013,1,0
0454050,peoria city,2015,3,0
0454050,peoria city,2018,1,0
0454050,peoria city,2019,1,0
0454050,peoria city,2021,1,0
0454050,peoria city,2022,2,0
0455000,phoenix city,2013,25,4
0455000,phoenix city,2014,17,5
0455000,phoenix city,2015,10,1
0455000,phoenix city,2016,16,2
0455000,phoenix city,2017,15,3
0455000,phoenix city,2018,28,2
0455000,phoenix city,2019,15,4
0455000,phoenix city,2020,17,5
0455000,phoenix city,2021,11,2
0455000,phoenix city,2022,11,1
0455000,phoenix city,2023,14,4
0465000,scottsdale city,2013,2,0
0465000,scottsdale city,2014,2,0
0465000,scottsdale city,2015,2,1
0465000,scottsdale city,2016,1,0
0465000,scottsdale city,2018,4,0
0465000,scottsdale city,2020,2,0
0465000,scottsdale city,2021,1,0
0465000,scottsdale city,2022,1,0
0465000,scottsdale city,2023,1,0
0471510,surprise city,2013,1,0
0471510,surprise city,2016,1,0
0471510,surprise city,2018,1,0
0471510,surprise city,2021,1,0
0471510,surprise city,2023,1,1
0473000,tempe city,2013,2,1
0473000,tempe city,2014,2,0
0473000,tempe city,2015,4,1
0473000,tempe city,2016,2,1
0473000,tempe city,2017,1,0
0473000,tempe city,2018,3,0
0473000,tempe city,2019,3,1
0473000,tempe city,2020,2,1
0473000,tempe city,2021,2,0
0473000,tempe city,2022,3,0
0473000,tempe city,2023,4,1
0477000,tucson city,2013,6,1
0477000,tucson city,2014,6,1
0477000,tucson city,2015,3,0
0477000,tucson city,2016,6,1
0477000,tucson city,2017,4,1
0477000,tucson city,2018,8,0
0477000,tucson city,2019,4,0
0477000,tucson city,2020,5,1
0477000,tucson city,2021,7,0
0477000,tucson city,2022,7,1
0477000,tucson city,2023,7,1
0541000,little rock city,2013,4,0
0541000,little rock city,2014,2,1
0541000,little rock city,2016,2,2
0541000,little rock city,2017,4,0
0541000,little rock city,2019,2,0
0541000,little rock city,2020,3,0
0541000,little rock city,2021,1,1
0541000,little rock city,2023,5,2
0602000,anaheim city,2014,3,0
0602000,anaheim city,2015,2,0
0602000,anaheim city,2016,5,2
0602000,anaheim city,2017,1,0
0602000,anaheim city,2018,3,3
0602000,anaheim city,2019,6,1
0602000,anaheim city,2020,3,0
0602000,anaheim city,2021,3,1
0602000,anaheim city,2022,2,0
0602000,anaheim city,2023,2,1
0602252,antioch city,2013,2,0
0602252,antioch city,2015,1,0
0602252,antioch city,2016,1,1
0602252,antioch city,2017,2,0
0602252,antioch city,2018,1,1
0602252,antioch city,2020,1,1
0602252,antioch city,2021,2,2
0603526,bakersfield city,2013,8,3
0603526,bakersfield city,2014,4,2
0603526,bakersfield city,2015,6,1
0603526,bakersfield city,2016,4,1
0603526,bakersfield city,2017,3,1
0603526,bakersfield city,2018,1,1
0603526,bakersfield city,2019,1,0
0603526,bakersfield city,2020,8,0
0603526,bakersfield city,2021,6,1
0603526,bakersfield city,2022,3,0
0603526,bakersfield city,2023,3,1
0606000,berkeley city,2017,1,0
0606000,berkeley city,2021,1,0
0606000,berkeley city,2023,2,0
0608954,burbank city,2013,2,1
0608954,burbank city,2015,1,1
0608954,burbank city,2016,1,1
0608954,burbank city,2017,1,1
0608954,burbank city,2021,1,0
0608954,burbank city,2023,1,1
0611194,carlsbad city,2017,1,0
0611194,carlsbad city,2020,1,0
0611194,carlsbad city,2021,1,0
0613014,chico city,2013,1,0
0613014,chico city,2015,1,0
0613014,chico city,2017,2,0
0613014,chico city,2020,1,0
0613392,chula vista city,2014,1,0
0613392,chula vista city,2015,1,1
0613392,chula vista city,2016,1,0
0613392,chula vista city,2017,1,0
0613392,chula vista city,2019,1,1
0613392,chula vista city,2020,2,0
0613392,chula vista city,2021,1,0
0613392,chula vista city,2022,1,0
0613392,chula vista city,2023,1,0
0614218,clovis city,2014,1,0
0614218,clovis city,2015,1,0
0614218,clovis city,2016,1,0
0614218,clovis city,2020,1,1
0616000,concord city,2014,2,0
0616000,concord city,2016,1,0
0616000,concord city,2019,1,0
0616350,corona city,2013,1,0
0616350,corona city,2017,1,0
0616350,corona city,2018,1,0
0616350,corona city,2021,2,0
0616350,corona city,2022,1,0
0616532,costa mesa city,2014,2,0
0616532,costa mesa city,2021,1,0
0617918,daly city city,2017,2,1
0617918,daly city city,2018,2,1
0617918,daly city city,2020,1,0
0617918,daly city city,2021,1,1
0619766,downey city,2014,1,1
0619766,downey city,2015,1,0
0619766,downey city,2016,1,0
0619766,downey city,2017,2,0
0619766,downey city,2022,1,1
0621712,el cajon city,2016,2,2
0621712,el cajon city,2021,1,0
0622020,elk grove city,2016,1,1
0622020,elk grove city,2018,1,0
0622020,elk grove city,2021,1,1
0622020,elk grove city,2023,1,0
0622230,el monte city,2015,4,0
0622230,el monte city,2016,1,0
0622230,el monte city,2019,2,0
0622230,el monte city,2021,1,0
0622804,escondido city,2013,1,0
0622804,escondido city,2014,1,0
0622804,escondido city,2017,1,0
0622804,escondido city,2021,3,0
0622804,escondido city,2023,1,0
0623182,fairfield city,2013,3,1
0623182,fairfield city,2015,1,0
0623182,fairfield city,2022,2,0
0624680,fontana city,2013,1,0
0624680,fontana city,2015,6,0
0624680,fontana city,2018,1,0
0624680,fontana city,2020,1,0
0624680,fontana city,2022,2,0
0624680,fontana city,2023,4,0
0626000,fremont city,2013,4,0
0626000,fremont city,2015,2,0
0626000,fremont city,2016,1,0
0626000,fremont city,2017,1,1
0626000,fremont city,2018,1,0
0626000,fremont city,2019,1,0
0626000,fremont city,2021,3,0
0627000,fresno city,2013,5,1
0627000,fresno city,2014,8,1
0627000,fresno city,2015,5,2
0627000,fresno city,2016,4,2
0627000,fresno city,2017,3,1
0627000,fresno city,2018,3,1
0627000,fresno city,2019,3,0
0627000,fresno city,2020,4,1
0627000,fresno city,2021,2,0
0627000,fresno city,2022,5,1
0627000,fresno city,2023,4,0
0628000,fullerton city,2014,1,0
0628000,fullerton city,2016,3,0
0628000,fullerton city,2018,1,0
0628000,fullerton city,2019,3,1
0628000,fullerton city,2020,2,0
0628000,fullerton city,2021,2,1
0629000,garden grove city,2013,3,0
0629000,garden grove city,2014,1,0
0629000,garden grove city,2015,1,0
0629000,garden grove city,2016,1,0
0629000,garden grove city,2018,2,1
0629000,garden grove city,2019,3,0
0629000,garden grove city,2020,3,1
0629000,garden grove city,2023,1,0
0630000,glendale city,2014,1,0
0630000,glendale city,2015,1,0
0630000,glendale city,2016,1,0
0630000,glendale city,2019,1,0
0630000,glendale city,2022,1,0
0630000,glendale city,2023,1,1
0633000,hayward city,2013,2,1
0633000,hayward city,2014,2,2
0633000,hayward city,2016,1,0
0633000,hayward city,2017,1,1
0633000,hayward city,2018,1,0
0633000,hayward city,2020,2,0
0633000,hayward city,2021,2,0
0633000,hayward city,2023,1,1
0636000,huntington beach city,2013,3,1
0636000,huntington beach city,2014,1,0
0636000,huntington beach city,2017,2,0
0636000,huntington beach city,2018,1,0
0636000,huntington beach city,2021,1,0
0636546,inglewood city,2013,2,0
0636546,inglewood city,2014,1,0
0636546,inglewood city,2016,4,1
0636546,inglewood city,2017,1,0
0636546,inglewood city,2018,2,1
0636546,inglewood city,2019,3,0
0636546,inglewood city,2020,2,0
0636546,inglewood city,2022,2,0
0636546,inglewood city,2023,2,0
0636770,irvine city,2018,1,0
0636770,irvine city,2022,1,0
0636770,irvine city,2023,1,0
0637692,jurupa valley city,2013,2,0
0637692,jurupa valley city,2015,2,0
0637692,jurupa valley city,2018,3,0
0637692,jurupa valley city,2020,1,1
0637692,jurupa valley city,2022,1,0
0640130,lancaster city,2015,1,0
0640130,lancaster city,2016,1,0
0640130,lancaster city,2018,1,0
0640130,lancaster city,2019,2,0
0640130,lancaster city,2020,3,2
0640130,lancaster city,2022,2,0
0640130,lancaster city,2023,1,0
0643000,long beach city,2013,7,0
0643000,long beach city,2014,5,0
0643000,long beach city,2015,7,4
0643000,long beach city,2016,5,2
0643000,long beach city,2017,5,1
0643000,long beach city,2018,2,0
0643000,long beach city,2019,3,2
0643000,long beach city,2020,5,0
0643000,long beach city,2021,4,1
0643000,long beach city,2022,3,0
0643000,long beach city,2023,1,0
0644000,los angeles city,2013,23,3
0644000,los angeles city,2014,24,4
0644000,los angeles city,2015,25,5
0644000,los angeles city,2016,26,3
0644000,los angeles city,2017,31,4
0644000,los angeles city,2018,23,6
0644000,los angeles city,2019,16,1
0644000,los angeles city,2020,15,2
0644000,los angeles city,2021,22,3
0644000,los angeles city,2022,19,3
0644000,los angeles city,2023,18,3
0646842,menifee city,2013,1,0
0646842,menifee city,2014,1,1
0646842,menifee city,2019,1,0
0646842,menifee city,2023,1,0
0648354,modesto city,2013,1,0
0648354,modesto city,2015,3,2
0648354,modesto city,2016,2,0
0648354,modesto city,2017,2,0
0648354,modesto city,2019,5,3
0648354,modesto city,2020,3,2
0648354,modesto city,2022,1,0
0649270,moreno valley city,2013,1,1
0649270,moreno valley city,2015,1,0
0649270,moreno valley city,2017,1,0
0649270,moreno valley city,2021,1,0
0649270,moreno valley city,2022,1,1
0649270,moreno valley city,2023,1,0
0650076,murrieta city,2016,1,0
0650076,murrieta city,2019,1,0
0650076,murrieta city,2020,1,0
0652526,norwalk city,2013,1,1
0652526,norwalk city,2015,1,0
0652526,norwalk city,2016,1,0
0652526,norwalk city,2017,1,0
0652526,norwalk city,2021,1,1
0653000,oakland city,2013,3,0
0653000,oakland city,2014,4,1
0653000,oakland city,2015,6,1
0653000,oakland city,2017,3,2
0653000,oakland city,2018,2,0
0653000,oakland city,2019,1,1
0653000,oakland city,2020,3,0
0653000,oakland city,2021,2,0
0653000,oakland city,2023,2,0
0653322,oceanside city,2014,1,0
0653322,oceanside city,2017,2,0
0653322,oceanside city,2020,1,0
0653896,ontario city,2013,1,0
0653896,ontario city,2014,1,0
0653896,ontario city,2015,3,0
0653896,ontario city,2016,1,0
0653896,ontario city,2017,1,0
0653896,ontario city,2019,2,1
0653896,ontario city,2020,3,0
0653896,ontario city,2021,2,0
0653896,ontario city,2022,2,0
0653980,orange city,2013,1,0
0653980,orange city,2014,1,0
0653980,orange city,2015,1,0
0653980,orange city,2019,2,1
0654652,oxnard city,2013,1,1
0654652,oxnard city,2015,1,0
0654652,oxnard city,2023,3,0
0655156,palmdale city,2014,1,0
0655156,palmdale city,2015,1,1
0655156,palmdale city,2017,1,1
0655156,palmdale city,2019,2,0
0655156,palmdale city,2022,1,0
0655156,palmdale city,2023,1,0
0656000,pasadena city,2016,1,0
0656000,pasadena city,2019,1,0
0656000,pasadena city,2020,2,0
0656000,pasadena city,2021,2,0
0656000,pasadena city,2023,1,0
0658072,pomona city,2013,2,0
0658072,pomona city,2015,2,2
0658072,pomona city,2017,1,0
0658072,pomona city,2018,1,0
0658072,pomona city,2020,2,0
0658072,pomona city,2022,1,0
0658072,pomona city,2023,1,1
0659451,rancho cucamonga city,2017,1,0
0659451,rancho cucamonga city,2020,1,0
0659451,rancho cucamonga city,2021,2,0
0659451,rancho cucamonga city,2022,4,0
0659451,rancho cucamonga city,2023,1,0
0660466,rialto city,2015,2,0
0660466,rialto city,2017,2,0
0660466,rialto city,2018,1,0
0660466,rialto city,2019,1,0
0660466,rialto city,2020,3,0
0660466,rialto city,2021,1,0
0660466,rialto city,2022,1,0
0660466,rialto city,2023,1,0
0660620,richmond city,2014,1,0
0660620,richmond city,2017,1,0
0660620,richmond city,2019,1,0
0660620,richmond city,2020,1,0
0660620,richmond city,2021,2,1
0660620,richmond city,2023,1,0
0662000,riverside city,2013,6,0
0662000,riverside city,2014,1,0
0662000,riverside city,2017,2,0
0662000,riverside city,2018,3,0
0662000,riverside city,2019,1,0
0662000,riverside city,2021,2,0
0662000,riverside city,2022,4,3
0662000,riverside city,2023,2,1
0662938,roseville city,2013,1,1
0662938,roseville city,2019,1,0
0662938,roseville city,2020,1,0
0664000,sacramento city,2013,1,1
0664000,sacramento city,2014,3,0
0664000,sacramento city,2015,2,2
0664000,sacramento city,2016,2,0
0664000,sacramento city,2017,1,0
0664000,sacramento city,2018,3,2
0664000,sacramento city,2020,6,1
0664000,sacramento city,2021,1,0
0664000,sacramento city,2022,8,4
0664000,sacramento city,2023,2,0
0664224,salinas city,2013,1,0
0664224,salinas city,2014,5,2
0664224,salinas city,2017,1,0
0664224,salinas city,2019,1,0
0664224,salinas city,2021,1,1
0664224,salinas city,2022,2,2
0664224,salinas city,2023,2,0
0665000,san bernardino city,2013,1,0
0665000,san bernardino city,2014,7,0
0665000,san bernardino city,2015,6,0
0665000,san bernardino city,2016,4,0
0665000,san bernardino city,2017,3,0
0665000,san bernardino city,2018,1,0
0665000,san bernardino city,2019,3,0
0665000,san bernardino city,2020,9,1
0665000,san bernardino city,2021,4,1
0665000,san bernardino city,2022,5,0
0665000,san bernardino city,2023,5,0
0665042,san buenaventura (ventura) city,2013,1,0
0665042,san buenaventura (ventura) city,2020,1,0
0666000,san diego city,2013,7,1
0666000,san diego city,2014,4,2
0666000,san diego city,2015,9,6
0666000,san diego city,2016,3,0
0666000,san diego city,2017,4,1
0666000,san diego city,2018,3,0
0666000,san diego city,2019,6,2
0666000,san diego city,2020,7,2
0666000,san diego city,2021,3,0
0666000,san diego city,2022,7,0
0666000,san diego city,2023,7,1
0667000,san francisco city,2013,2,0
0667000,san francisco city,2014,3,0
0667000,san francisco city,2015,6,1
0667000,san francisco city,2016,3,1
0667000,san francisco city,2017,4,2
0667000,san francisco city,2018,3,1
0667000,san francisco city,2020,1,0
0667000,san francisco city,2021,2,1
0667000,san francisco city,2022,2,1
0667000,san francisco city,2023,4,0
0668000,san jose city,2013,5,0
0668000,san jose city,2014,3,0
0668000,san jose city,2015,6,1
0668000,san jose city,2016,3,0
0668000,san jose city,2017,4,1
0668000,san jose city,2018,2,0
0668000,san jose city,2019,4,1
0668000,san jose city,2020,1,0
0668000,san jose city,2021,3,1
0668000,san jose city,2022,2,0
0668000,san jose city,2023,1,0
0668252,san mateo city,2017,1,0
0668252,san mateo city,2023,1,1
0669000,santa ana city,2013,3,1
0669000,santa ana city,2015,2,1
0669000,santa ana city,2016,4,0
0669000,santa ana city,2017,3,1
0669000,santa ana city,2018,3,0
0669000,santa ana city,2020,2,0
0669000,santa ana city,2021,2,0
0669000,santa ana city,2022,2,1
0669084,santa clara city,2014,1,0
0669084,santa clara city,2015,2,0
0669084,santa clara city,2017,1,0
0669084,santa clara city,2019,2,0
0669084,santa clara city,2022,2,0
0669088,santa clarita city,2014,1,0
0669088,santa clarita city,2016,1,0
0669088,santa clarita city,2019,1,0
0669088,santa clarita city,2020,1,0
0669088,santa clarita city,2021,1,0
0669088,santa clarita city,2022,1,0
0669088,santa clarita city,2023,2,1
0669196,santa maria city,2013,1,0
0669196,santa maria city,2015,1,0
0669196,santa maria city,2018,1,0
0669196,santa maria city,2022,1,0
0669196,santa maria city,2023,1,0
0670098,santa rosa city,2013,1,1
0670098,santa rosa city,2015,1,0
0670098,santa rosa city,2017,1,0
0670098,santa rosa city,2021,1,0
0672016,simi valley city,2013,1,0
0672016,simi valley city,2022,1,0
0675000,stockton city,2013,2,0
0675000,stockton city,2014,4,1
0675000,stockton city,2015,4,0
0675000,stockton city,2016,6,2
0675000,stockton city,2017,1,0
0675000,stockton city,2019,3,0
0675000,stockton city,2020,2,1
0675000,stockton city,2021,2,0
0675000,stockton city,2022,1,0
0675000,stockton city,2023,4,1
0677000,sunnyvale city,2013,2,1
0677000,sunnyvale city,2014,1,1
0677000,sunnyvale city,2015,3,0
0677000,sunnyvale city,2017,1,0
0678120,temecula city,2013,1,0
0678120,temecula city,2016,3,0
0678120,temecula city,2019,1,1
0678582,thousand oaks city,2018,1,0
0680000,torrance city,2013,3,1
0680000,torrance city,2016,1,0
0680000,torrance city,2017,1,0
0680000,torrance city,2018,2,0
0680000,torrance city,2020,2,1
0681554,vacaville city,2013,2,0
0681554,vacaville city,2017,1,0
0681554,vacaville city,2019,1,0
0681554,vacaville city,2021,1,0
0681666,vallejo city,2013,2,0
0681666,vallejo city,2014,1,0
0681666,vallejo city,2015,1,0
0681666,vallejo city,2017,1,0
0681666,vallejo city,2018,1,1
0681666,vallejo city,2019,2,1
0681666,vallejo city,2020,1,1
0681666,vallejo city,2022,1,0
0682590,victorville city,2014,2,2
0682590,victorville city,2018,1,0
0682590,victorville city,2019,3,1
0682590,victorville city,2020,2,0
0682590,victorville city,2021,3,1
0682590,victorville city,2022,2,1
0682590,victorville city,2023,1,0
0682954,visalia city,2013,3,0
0682954,visalia city,2015,1,0
0682954,visalia city,2016,1,0
0682954,visalia city,2017,1,0
0682954,visalia city,2019,1,0
0682954,visalia city,2021,2,0
0684200,west covina city,2014,2,1
0684200,west covina city,2015,2,1
0684200,west covina city,2016,1,0
0684200,west covina city,2017,1,1
0684200,west covina city,2021,1,0
0803455,arvada city,2014,2,0
0803455,arvada city,2016,1,0
0803455,arvada city,2017,1,0
0803455,arvada city,2018,3,0
0803455,arvada city,2020,4,0
0803455,arvada city,2021,3,0
0803455,arvada city,2022,2,0
0803455,arvada city,2023,1,0
0804000,aurora city,2013,1,0
0804000,aurora city,2014,2,0
0804000,aurora city,2015,5,1
0804000,aurora city,2016,3,0
0804000,aurora city,2018,5,0
0804000,aurora city,2019,3,1
0804000,aurora city,2020,3,0
0804000,aurora city,2021,2,0
0804000,aurora city,2022,5,0
0804000,aurora city,2023,3,2
0807850,boulder city,2013,1,0
0807850,boulder city,2015,1,0
0807850,boulder city,2016,2,0
0807850,boulder city,2019,1,0
0807850,boulder city,2023,2,1
0812815,centennial city,2016,1,0
0812815,centennial city,2017,3,0
0812815,centennial city,2018,4,0
0812815,centennial city,2019,1,0
0812815,centennial city,2020,1,0
0812815,centennial city,2021,1,0
0812815,centennial city,2022,1,0
0812815,centennial city,2023,1,0
0816000,colorado springs city,2015,2,1
0816000,colorado springs city,2016,2,0
0816000,colorado springs city,2017,3,2
0816000,colorado springs city,2018,4,1
0816000,colorado springs city,2019,6,0
0816000,colorado springs city,2020,4,1
0816000,colorado springs city,2021,7,0
0816000,colorado springs city,2022,4,1
0816000,colorado springs city,2023,3,1
0820000,denver city,2013,5,0
0820000,denver city,2014,4,1
0820000,denver city,2015,6,0
0820000,denver city,2016,7,2
0820000,denver city,2017,5,0
0820000,denver city,2018,8,0
0820000,denver city,2019,9,0
0820000,denver city,2020,11,1
0820000,denver city,2021,10,0
0820000,denver city,2022,6,1
0820000,denver city,2023,7,4
0827425,fort collins city,2014,1,0
0827425,fort collins city,2015,1,0
0827425,fort collins city,2016,1,0
0827425,fort collins city,2017,3,1
0827425,fort collins city,2022,3,0
0827425,fort collins city,2023,2,1
0832155,greeley city,2014,3,0
0832155,greeley city,2015,2,0
0832155,greeley city,2016,2,0
0832155,greeley city,2017,1,0
0832155,greeley city,2018,1,0
0832155,greeley city,2020,1,0
0832155,greeley city,2021,1,0
0832155,greeley city,2022,3,0
0832155,greeley city,2023,2,0
0843000,lakewood city,2015,1,0
0843000,lakewood city,2016,2,0
0843000,lakewood city,2017,1,0
0843000,lakewood city,2018,1,0
0843000,lakewood city,2019,6,0
0843000,lakewood city,2020,1,0
0843000,lakewood city,2021,5,1
0862000,pueblo city,2013,1,0
0862000,pueblo city,2014,3,0
0862000,pueblo city,2015,1,0
0862000,pueblo city,2016,2,0
0862000,pueblo city,2017,2,1
0862000,pueblo city,2018,4,0
0862000,pueblo city,2019,5,1
0862000,pueblo city,2020,5,0
0862000,pueblo city,2021,1,0
0862000,pueblo city,2022,3,0
0862000,pueblo city,2023,3,0
0877290,thornton city,2013,2,0
0877290,thornton city,2014,2,0
0877290,thornton city,2015,1,0
0877290,thornton city,2016,2,0
0877290,thornton city,2017,6,1
0877290,thornton city,2018,2,0
0877290,thornton city,2020,1,0
0877290,thornton city,2021,1,0
0877290,thornton city,2022,1,0
0877290,thornton city,2023,1,0
0883835,westminster city,2014,1,0
0883835,westminster city,2016,3,0
0883835,westminster city,2017,5,0
0883835,westminster city,2018,6,1
0883835,westminster city,2019,2,1
0883835,westminster city,2020,1,0
0883835,westminster city,2021,3,0
0883835,westminster city,2022,1,0
0883835,westminster city,2023,4,1
0908000,bridgeport city,2013,2,0
0908000,bridgeport city,2017,1,0
0937000,hartford city,2013,1,0
0937000,hartford city,2015,1,1
0937000,hartford city,2019,1,0
0937000,hartford city,2020,1,0
0937000,hartford city,2021,1,0
0937000,hartford city,2023,2,1
0952000,new haven city,2016,1,1
0973000,stamford city,2016,1,1
0973000,stamford city,2023,1,1
0980000,waterbury city,2016,1,0
0980000,waterbury city,2020,1,0
0980000,waterbury city,2023,1,0
1150000,washington city,2013,8,1
1150000,washington city,2014,4,0
